run,energy_GeV,particle,rf,cf,cc,cfcomp,sipm_bias,trigger_delay,trigger_length,phase_mode,phase,deadtime,tungsten
577,60,h,50,400,0.1,400,43,12,16,unlocked,,5,no
578,60,h,50,400,0.1,400,43,12,16,unlocked,,5,no
579,60,h,50,400,0.1,400,45,12,16,unlocked,,5,no
580,60,h,50,400,0.1,400,45,12,16,unlocked,,5,no
603,60,e,50,400,0.1,400,45,12,16,unlocked,,5,no
604,60,e,50,400,0.1,400,45,12,16,unlocked,,5,no
605,60,e,50,400,0.1,400,43,12,16,unlocked,,5,no
606,60,e,50,400,0.1,400,43,12,16,unlocked,,5,no
607,60,e,50,400,0.1,400,45,12,16,unlocked,,5,no
650,350,h,50,400,0.1,400,47,12,16,locked,5,5,yes
651,350,h,50,400,0.1,400,47,12,16,locked,5,5,yes
652,60,h,50,400,0.1,400,47,12,16,locked,5,5,yes
653,60,h,50,400,0.1,400,47,12,16,locked,5,5,yes
655,200,h,50,400,0.1,400,47,12,16,locked,5,5,yes
656,200,h,50,400,0.1,400,47,12,16,locked,5,5,yes
657,100,h,50,400,0.1,400,47,12,16,locked,5,5,yes
658,100,h,50,400,0.1,400,47,12,16,locked,5,5,yes
659,150,h,50,400,0.1,400,47,12,16,locked,5,5,yes
660,150,h,50,400,0.1,400,47,12,16,locked,5,5,yes
661,150,h,50,400,0.1,400,47,12,16,locked,5,5,yes
662,150,h,50,400,0.1,400,47,12,16,locked,5,5,yes
